Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2006","2006","ha","4187","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2006","2006","kg/ha","1161.2","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2006","2006","t","4862","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2007","2007","ha","5025","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2007","2007","kg/ha","1046.2","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2007","2007","t","5257","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2008","2008","ha","4431","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2008","2008","kg/ha","1406.7","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2008","2008","t","6233","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2009","2009","ha","3359","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2009","2009","kg/ha","1322.4","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2009","2009","t","4442.39","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2010","2010","ha","1324","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2010","2010","kg/ha","1307.6","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2010","2010","t","1731.26","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2011","2011","ha","2894","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2011","2011","kg/ha","1369.7","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2011","2011","t","3963.68","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2012","2012","ha","3011","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2012","2012","kg/ha","1420.2","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2012","2012","t","4276.53","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2013","2013","ha","3034","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2013","2013","kg/ha","1470.6","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2013","2013","t","4462.34","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2014","2014","ha","2743","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2014","2014","kg/ha","1476.1","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2014","2014","t","4048.61","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2015","2015","ha","2620","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2015","2015","kg/ha","1531.6","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2015","2015","t","4012.09","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2016","2016","ha","2799","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2016","2016","kg/ha","1491.4","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2016","2016","t","4174.35","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2017","2017","ha","2720","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2017","2017","kg/ha","1432.2","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2017","2017","t","3896.19","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2018","2018","ha","2266","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2018","2018","kg/ha","1544.4","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2018","2018","t","3499.61","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2019","2019","ha","1803","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2019","2019","kg/ha","2035.6","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2019","2019","t","3671.18","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","1369","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2020","2020","kg/ha","2654.6","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2020","2020","t","3633.19","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2021","2021","ha","853","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2021","2021","kg/ha","3960.1","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2021","2021","t","3378","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01371","Almonds, in shell","2022","2022","ha","857","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01371","Almonds, in shell","2022","2022","kg/ha","4044.1","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01371","Almonds, in shell","2022","2022","t","3466.24","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1991","1991","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1991","1991","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1992","1992","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1992","1992","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1993","1993","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1993","1993","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1994","1994","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1994","1994","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1995","1995","ha","70","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1995","1995","kg/ha","400","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1995","1995","t","28","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1996","1996","ha","147","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1996","1996","kg/ha","598.6","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1996","1996","t","88","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1997","1997","ha","80","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1997","1997","kg/ha","512.5","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1997","1997","t","41","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1998","1998","ha","81","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1998","1998","kg/ha","481.5","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1998","1998","t","39","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1999","1999","ha","47","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1999","1999","kg/ha","255.3","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1999","1999","t","12","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2000","2000","ha","192","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2000","2000","kg/ha","791.7","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2000","2000","t","152","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2001","2001","ha","158","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2001","2001","kg/ha","411.4","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2001","2001","t","65","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2002","2002","ha","211","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2002","2002","kg/ha","710.9","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2002","2002","t","150","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2003","2003","ha","206","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2003","2003","kg/ha","558.3","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2003","2003","t","115","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2004","2004","ha","156","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2004","2004","kg/ha","455.1","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2004","2004","t","71","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2005","2005","ha","172","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2005","2005","kg/ha","767.4","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2005","2005","t","132","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2006","2006","ha","230","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2006","2006","kg/ha","691.3","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2006","2006","t","159","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2007","2007","ha","268","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2007","2007","kg/ha","690.3","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2007","2007","t","185","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2008","2008","ha","214","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2008","2008","kg/ha","658.9","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2008","2008","t","141","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2009","2009","ha","260","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2009","2009","kg/ha","669.7","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2009","2009","t","174.11","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2010","2010","ha","224","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2010","2010","kg/ha","687.2","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2010","2010","t","153.93","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2011","2011","ha","248","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2011","2011","kg/ha","687","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2011","2011","t","170.05","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2012","2012","ha","263","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2012","2012","kg/ha","698.7","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2012","2012","t","183.76","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2013","2013","ha","251","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2013","2013","kg/ha","710.4","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2013","2013","t","178.63","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2014","2014","ha","270","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2014","2014","kg/ha","714.8","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2014","2014","t","192.83","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","ha","283","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","kg/ha","726.2","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","t","205.24","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","ha","268","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","kg/ha","717.5","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","t","192.23","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","ha","285","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","kg/ha","690.8","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","t","196.77","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","ha","239","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","kg/ha","721.1","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","t","172.23","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","ha","188","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","kg/ha","875.7","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","t","164.45","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","ha","162","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","kg/ha","972.2","E","Estimated value",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","t","157.63","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","275","Palestine","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","ha","44","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","kg/ha","1522.7","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","t","67","A","Official figure",""
