Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","275","Palestine","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","60.222283","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","61.157954","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","60.823439","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","60.091386","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2002","2002","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","60.939792","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","61.21613","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","61.317939","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","62.476619","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","64.066774","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","63.872853","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","63.329873","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","62.592972","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","61.691238","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","62.811134","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","62.801437","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","63.455922","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2003","2003","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","63.863157","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","64.973357","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","65.084862","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","64.29948","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","65.176974","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","63.931029","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","63.131104","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","63.320177","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","62.733565","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","63.198976","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","63.179584","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","64.221912","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2004","2004","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","66.447159","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","65.521622","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","66.412981","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","66.129123","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","66.505069","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","65.551732","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","65.576177","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","65.750984","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","66.107911","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","67.141652","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","68.372247","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","68.779393","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2005","2005","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","67.878559","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","67.621798","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","68.310943","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","69.223035","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","69.663571","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","71.596858","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","71.062862","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","71.715684","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","71.197218","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","72.046382","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","71.93016","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","72.208259","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2006","2006","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","71.926346","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","72.133357","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","71.504958","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","71.215924","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","71.492425","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","70.818197","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","71.861392","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","72.259305","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","75.309636","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","75.9376","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","77.64332","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","77.930582","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2007","2007","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","78.12364","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","79.965359","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","81.284254","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","84.544348","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","86.780698","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","86.031518","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","86.549394","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","87.367843","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","88.027361","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","90.286584","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","90.256635","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","89.441513","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2008","2008","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","88.668169","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","88.225151","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","87.537713","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","89.151844","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","88.539298","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","88.523145","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","88.474141","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","89.066479","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","90.922192","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","91.172947","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","90.957","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","91.493783","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2009","2009","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","92.523473","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","92.089129","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","91.190402","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","91.247112","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","91.036071","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","90.852241","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","91.305473","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","91.714822","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","92.242458","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","95.094332","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","95.899313","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","95.480134","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","95.043463","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","94.301361","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","95.262554","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","94.613741","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","94.322596","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","93.403593","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","93.586552","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","94.398531","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","94.7049","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","95.573793","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","95.742131","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","96.849048","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2011","2011","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","97.200672","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","97.625892","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","97.5231","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","97.455741","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","96.682329","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","96.166339","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","94.069045","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","95.147955","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","96.981898","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","99.840046","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","98.666446","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","97.201071","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","96.792795","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","99.654892","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","98.005086","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","275","Palestine","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","96.486149","X","Figure from external organization","base year is 2015"
